teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec;terytMZ;mzam
020000;4;05;PiS;TROCZYŃSKA Danuta Anna;2695;1.51;6.03;N;K;021004;Uniegoszcz
020000;4;06;PiS;SIKORA Andrzej Piotr;4355;2.45;9.74;N;M;020702;Krzeszów
020000;4;07;PiS;ŻYŁA-MONIK Agata Emilia;2355;1.32;5.27;N;K;022502;Zgorzelec
020000;4;08;PiS;POTOCKI Jacek Krzysztof;3577;2.01;8.00;N;M;020607;Mysłakowice
020000;4;01;SLD;KUSIAK Józef;4787;2.69;35.57;N;M;026101;Jelenia Góra
020000;4;02;SLD;ZBIEG Grażyna Stanisława;1137;0.64;8.45;N;K;020101;Bolesławiec
020000;4;03;SLD;TYC Andrzej Jan;2505;1.41;18.61;N;M;022502;Zgorzelec
020000;4;04;SLD;MIRECKI Zdzisław;622;0.35;4.62;N;M;020101;Bolesławiec
020000;4;05;SLD;CISZEK Sylwia Małgorzata;553;0.31;4.11;N;K;020602;Kowary
020000;4;06;SLD;DUDZIK Jolanta;1103;0.62;8.20;N;K;021201;Gryfów Śląski
020000;4;07;SLD;KUBIENIEC Henryk Józef;747;0.42;5.55;N;M;020701;Kamienna Góra
020000;4;08;SLD;ADAMCZUK Andrzej Lucjan;2003;1.13;14.88;N;M;021007;Siekierczyn
020000;5;01;PO;BORYS Piotr;26697;13.57;58.05;T;M;021101;Lubin
020000;5;02;PO;ZAHORSKI Jacek Zbigniew;2734;1.39;5.94;N;M;020301;Głogów
020000;5;03;PO;SZELĄG Jadwiga;7332;3.73;15.94;T;K;022602;Złotoryja
020000;5;04;PO;FROST Paweł Marcin;2390;1.21;5.20;N;M;026201;Legnica
020000;5;05;PO;BROK Anna;3350;1.70;7.28;N;K;020301;Głogów
020000;5;06;PO;DWOJAK Jarosław Janusz;575;0.29;1.25;N;M;026201;Legnica
020000;5;07;PO;STRĄCZEK Joanna Dorota;976;0.50;2.12;N;K;020906;Grzymalin
020000;5;08;PO;DEMBEK Renata Helena;1936;0.98;4.21;N;K;021604;Polkowice
020000;5;01;PSL;SAMBORSKI Tadeusz;8657;4.40;59.66;N;M;020907;Rogów Legnicki
020000;5;02;PSL;GOŁĘBIOWSKA Wanda Józefa;2223;1.13;15.32;N;K;020504;Niedaszów
020000;5;03;PSL;DZBANUSZEK Józef;700;0.36;4.82;N;M;026201;Legnica
020000;5;04;PSL;STANKIEWICZ Cecylia Ewa;829;0.42;5.71;N;K;021102;Chróstnik
020000;5;05;PSL;WRONA Maria;926;0.47;6.38;N;K;020907;Cichobórz
020000;5;06;PSL;GARBACZEWSKA Danuta Krystyna;285;0.14;1.96;N;K;021101;Lubin
020000;5;07;PSL;CIRKO Patrycja Alicja;570;0.29;3.93;N;K;021602;Dalków
020000;5;08;PSL;TOFEL Tadeusz;320;0.16;2.21;N;M;021101;Lubin
020000;5;01;PiS;BACZYŃSKI Jacek Marcin;27862;14.16;43.02;T;M;026201;Legnica
020000;5;02;PiS;KURA Paweł;14924;7.58;23.04;T;M;021101;Lubin
020000;5;03;PiS;MOCHOL-KĘDZIORA Alicja;5000;2.54;7.72;N;K;020301;Głogów
020000;5;04;PiS;KARWAN Piotr Adam;5340;2.71;8.25;T;M;021606;Radwanice
020000;5;05;PiS;MATERNIAK Franciszek;1724;0.88;2.66;N;M;020506;Wądroże Wielkie
020000;5;06;PiS;BRZOZOWSKA Kamila Dorota;4751;2.41;7.34;N;K;022602;Złotoryja
020000;5;07;PiS;WAŃKOWICZ Izabela Katarzyna;2225;1.13;3.44;N;K;026201;Legnica
020000;5;08;PiS;JURGA Patryk;2935;1.49;4.53;N;M;020502;Lipa
020000;5;01;SLD;ZBRZYZNY Ryszard;6872;3.49;55.42;N;M;021102;Osiek
020000;5;02;SLD;DEC-ŻABOKLICKA Urszula Beata;668;0.34;5.39;N;K;026201;Legnica
020000;5;03;SLD;SZTANGRET Jerzy Stanisław;913;0.46;7.36;N;M;020302;Ruszowice
020000;5;04;SLD;BIAŁEK Joanna Renata;942;0.48;7.60;N;K;020301;Głogów
020000;5;05;SLD;WASINKIEWICZ Józef;501;0.25;4.04;N;M;026201;Legnica
020000;5;06;SLD;TOMCZAK Stanisław;726;0.37;5.85;N;M;020501;Jawor
020000;5;07;SLD;KIDA Elżbieta;929;0.47;7.49;N;K;020301;Głogów
020000;5;08;SLD;SERKIES Alfred Józef;849;0.43;6.85;N;M;020902;Biała
040000;1;01;PO;OSTROWSKI Zbigniew Wiktor;17723;12.82;29.06;T;M;046101;Bydgoszcz
040000;1;02;PO;JASIAKIEWICZ Roman Franciszek;26379;19.07;43.25;T;M;046101;Bydgoszcz
040000;1;03;PO;GRZYBOWSKI Michał Wojciech;2803;2.03;4.60;N;M;046101;Bydgoszcz
040000;1;04;PO;STASZAK-KOWALSKA Radosława Maria;3672;2.66;6.02;N;K;040301;Białe Błota
040000;1;05;PO;FALKOWSKA-WIERCZEWSKA Natalia Maria;3422;2.47;5.61;N;K;046101;Bydgoszcz
040000;1;06;PO;WOJCIECHOWSKA-BLACHOWSKA Bogna Małgorzata;1896;1.37;3.11;N;K;046101;Bydgoszcz
040000;1;07;PO;KRUPA Łukasz Marcin;5096;3.68;8.36;T;M;046101;Bydgoszcz
040000;1;01;PSL;ANKIEWICZ-JASIŃSKA Ewa Teresa;1089;0.79;37.63;N;K;046101;Bydgoszcz
040000;1;02;PSL;NIEDBALSKA Ewa Maria;474;0.34;16.38;N;K;046101;Bydgoszcz
040000;1;03;PSL;BŁASIK Anna Bernadeta;273;0.20;9.43;N;K;046101;Bydgoszcz
040000;1;04;PSL;GRADEK Jolanta;244;0.18;8.43;N;K;046101;Bydgoszcz
040000;1;05;PSL;KOKOSZCZYŃSKI Wojciech Waldemar;155;0.11;5.36;N;M;046101;Bydgoszcz
040000;1;06;PSL;DRZYCIMSKI Łukasz;204;0.15;7.05;N;M;046101;Bydgoszcz
040000;1;07;PSL;SANKOWSKI Paweł Maksymilian;455;0.33;15.72;N;M;046101;Bydgoszcz
040000;1;01;PiS;KRZEMKOWSKI Michał;17043;12.32;42.62;T;M;046101;Bydgoszcz
040000;1;02;PiS;JĘDRYKA Anna Marta;4087;2.96;10.22;N;K;046101;Bydgoszcz
040000;1;03;PiS;WENDERLICH Paulina;4811;3.48;12.03;N;K;046101;Bydgoszcz
040000;1;04;PiS;PASTUSZEWSKI Bronisław;3714;2.69;9.29;N;M;046101;Bydgoszcz
040000;1;05;PiS;MISIEWICZ Teresa;1392;1.01;3.48;N;K;046101;Bydgoszcz
040000;1;06;PiS;SZYMAŃSKA Anna-Maria;1673;1.21;4.18;N;K;046101;Bydgoszcz
040000;1;07;PiS;DOMBROWICZ Konstanty;7269;5.26;18.18;T;M;046101;Bydgoszcz
040000;1;01;SLD;SZOPIŃSKI Jan Józef;9473;6.85;64.13;N;M;046101;Bydgoszcz
040000;1;02;SLD;KOZŁOWICZ Mirosław Andrzej;1294;0.94;8.76;N;M;046101;Bydgoszcz
040000;1;03;SLD;DEJA Danuta Halina;1340;0.97;9.07;N;K;046101;Bydgoszcz
040000;1;04;SLD;LIPIŃSKI Waldemar;355;0.26;2.40;N;M;046101;Bydgoszcz
040000;1;05;SLD;BALCER Agnieszka Aleksandra;723;0.52;4.89;N;K;046101;Bydgoszcz
040000;1;06;SLD;MILEJ Zbigniew;508;0.37;3.44;N;M;046101;Bydgoszcz
040000;1;07;SLD;TYLICKA Małgorzata Teresa;1079;0.78;7.30;N;K;046101;Bydgoszcz
040000;2;01;PO;KATULSKI Jarosław Paweł;14499;13.02;37.13;T;M;041606;Tuchola
040000;2;02;PO;POGODA Tadeusz Grzegorz;12713;11.41;32.56;T;M;041409;Świecie
040000;2;03;PO;STELMACH Piotr;2347;2.11;6.01;N;M;040306;Osielsko
040000;2;04;PO;GACA Grzegorz;3980;3.57;10.19;N;M;046101;Bydgoszcz
040000;2;05;PO;PARII-FRYSZKE Justyna Anna;1757;1.58;4.50;N;K;040308;Makowiska
040000;2;06;PO;BUKOWSKA Ewa Marta;2237;2.01;5.73;N;K;041302;Sępólno Krajeńskie
040000;2;07;PO;SZRAMKA Hanna Krystyna;1514;1.36;3.88;N;K;041606;Tuchola
040000;2;01;PSL;KŁOPOTEK Agnieszka Maria;8745;7.85;45.20;T;K;040705;Kołuda Wielka
040000;2;02;PSL;MES Ewa Monika;5795;5.20;29.95;N;K;040303;Włóki
040000;2;03;PSL;KUCZYŃSKI Sławomir Stanisław;1362;1.22;7.04;N;M;046101;Bydgoszcz
040000;2;04;PSL;DREWKA Hanna Maria;1171;1.05;6.05;N;K;041405;Wętfie
040000;2;05;PSL;RÓŻAŃSKI Krzysztof Janusz;835;0.75;4.32;N;M;040304;Koronowo
040000;2;06;PSL;PIK Jadwiga Zofia;646;0.58;3.34;N;K;041604;Bysław
040000;2;07;PSL;KRUCZYŃSKI Zbigniew Paweł;792;0.71;4.09;N;M;041401;Przysiersk
040000;2;01;PiS;WITKOWSKI Marek Leon;13380;12.01;42.84;T;M;041304;Więcbork
040000;2;02;PiS;CHMARZYŃSKI Jacek Antoni;5642;5.07;18.07;T;M;041407;Osie
040000;2;03;PiS;LITWINOWICZ Marzena Maria;3060;2.75;9.80;N;K;040304;Koronowo
040000;2;04;PiS;KROPIŃSKI Wacław Antoni;2004;1.80;6.42;N;M;041606;Tuchola
040000;2;05;PiS;KWIATKOWSKA Elżbieta Maria;2574;2.31;8.24;N;K;041409;Świecie
040000;2;06;PiS;ŚRUBKOWSKA Żaneta Katarzyna;735;0.66;2.35;N;K;040304;Koronowo
040000;2;07;PiS;KACZYŃSKI Leszek Piotr;3836;3.44;12.28;N;M;041604;Minikowo
