okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
12;06;PiS;Ewa Maria FILIPIAK;3915;1.44;2.94;T;K
12;07;PiS;Krzysztof KASPEREK;1414;0.52;1.06;N;M
12;08;PiS;Sławomir Paweł HAJOS;2734;1.01;2.05;N;M
12;09;PiS;Janina TRZASKA;367;0.14;0.28;N;K
12;10;PiS;Zbigniew Stanisław BIERNAT;3644;1.34;2.74;T;M
12;11;PiS;Jolanta Maria MAJKA;706;0.26;0.53;N;K
12;12;PiS;Mariusz Tomasz KRYSTIAN;1199;0.44;0.90;N;M
12;13;PiS;Stanisława Maria ŁAGOSZ-MIROCHA;188;0.07;0.14;N;K
12;14;PiS;Tomasz Piotr SPANNBAUER;1496;0.55;1.12;N;M
12;15;PiS;Anna Emilia RAPACZ;1578;0.58;1.18;N;K
12;16;PiS;Filip Roman KACZYŃSKI;2390;0.88;1.79;N;M
12;01;SLD;Zdzisława Alicja PIĄTKOWSKA;4310;1.59;29.78;N;K
12;02;SLD;Stanisław RYDZOŃ;4756;1.75;32.86;N;M
12;03;SLD;Halina TALAGA;1164;0.43;8.04;N;K
12;04;SLD;Maciej BIELAT;472;0.17;3.26;N;M
12;05;SLD;Wit Mateusz SARLEJ;625;0.23;4.32;N;M
12;06;SLD;Janusz Jarosław WRZEŚNIEWSKI;202;0.07;1.40;N;M
12;07;SLD;Edyta Kazimiera LUKS;244;0.09;1.69;N;K
12;08;SLD;Marek Piotr NAZAROWSKI;183;0.07;1.26;N;M
12;09;SLD;Szymon Przemysław DRAB;152;0.06;1.05;N;M
12;10;SLD;Paweł REJDYCH;572;0.21;3.95;N;M
12;11;SLD;Alicja ZIOBRO;244;0.09;1.69;N;K
12;12;SLD;Marta Beata SCĄBER;291;0.11;2.01;N;K
12;13;SLD;Mirosław Zenon SYGNAT;240;0.09;1.66;N;M
12;14;SLD;Franciszka Julia MATUSZEWSKA;281;0.10;1.94;N;K
12;15;SLD;Roman Stanisław BARTYZEL;231;0.09;1.60;N;M
12;16;SLD;Barbara Maria ŁAKOMY;506;0.19;3.50;N;K
13;01;PO;Rafał Kazimierz TRZASKOWSKI;47080;8.68;35.25;T;M
13;02;PO;Ireneusz Jacek RAŚ;24543;4.52;18.38;T;M
13;03;PO;Grzegorz Cezary LIPIEC;4460;0.82;3.34;N;M
13;04;PO;Lidia Stanisława GĄDEK;9082;1.67;6.80;T;K
13;05;PO;Jagna Kinga MARCZUŁAJTIS-WALCZAK;6899;1.27;5.17;N;K
13;06;PO;Bogusław Andrzej SONIK;11715;2.16;8.77;T;M
13;07;PO;Janusz Marian SEPIOŁ;2963;0.55;2.22;N;M
13;08;PO;Paweł Marcin PIASNY;1908;0.35;1.43;N;M
13;09;PO;Jacek Jan KRUPA;2473;0.46;1.85;N;M
13;10;PO;Marta Elżbieta PATENA;4103;0.76;3.07;N;K
13;11;PO;Tomasz Mariusz URYNOWICZ;639;0.12;0.48;N;M
13;12;PO;Barbara Maria ADAMSKA;774;0.14;0.58;N;K
13;13;PO;Teresa Barbara STARMACH;1058;0.19;0.79;N;K
13;14;PO;Maciej ŻMUDA;557;0.10;0.42;N;M
13;15;PO;Katarzyna Maria PABIAN;1639;0.30;1.23;N;K
13;16;PO;Jerzy Adam WOŹNIAKIEWICZ;409;0.08;0.31;N;M
13;17;PO;Szczęsny Maciej FILIPIAK;1153;0.21;0.86;N;M
13;18;PO;Joanna Agnieszka MARCELA;348;0.06;0.26;N;K
13;19;PO;Magdalena Maria BASSARA;335;0.06;0.25;N;K
13;20;PO;Wojciech BOSAK;540;0.10;0.40;N;M
13;21;PO;Katarzyna Anna BIELAŃSKA;730;0.13;0.55;N;K
13;22;PO;Marek Andrzej HAREŃCZYK;224;0.04;0.17;N;M
13;23;PO;Edyta Liliana NOWAK;538;0.10;0.40;N;K
13;24;PO;Bogdan Michał DĄSAL;387;0.07;0.29;N;M
